source,target,weight
7042488,568146,1
7042488,885097,1
7042493,6102449,1
7042493,885098,1
7042493,729570,1
7042493,6065008,1
7042493,6065024,1
7042493,6400486,1
7042493,6102461,1
7042493,6634124,1
7042493,6634160,1
7042493,4389006,1
7042493,4389004,1
7042480,1532142,1
7042480,6327290,1
7042480,5613439,1
7042480,6400486,1
7042480,4389001,1
7042480,6634192,1
7042480,6400488,1
7042492,6102449,1
7042492,6634115,1
7042492,6400559,1
7042492,6400486,1
7042492,528686,1
7042492,4389006,1
7042479,6327252,1
7042479,5332596,1
7042479,1532138,1
7042479,745302,1
7042479,5332593,1
7042478,6327288,1
7042478,6634087,1
7042478,6327272,1
7042478,964541_07,1
7042482,6327245,1
7042482,4376141,1
7042482,6634168,1
7042482,5613456,1
7042482,6634108,1
7042482,1532136,1
7042482,5290702,1
7042482,6064996,1
7042482,5613428,1
7042482,6634156,1
7042477,6327288,1
7042477,4677350,1
7042477,4376136,1
7042477,6634174,1
7042477,6634194,1
7042477,6634165,1
7042477,6634195,1
7042484,6400554,1
7042484,5613433,1
7042484,4376154,1
7042484,6065002,1
7042484,6102440,1
7042484,5290710,1
7042484,801851,1
7042484,4015424,1
7042484,4389013,1
7042483,4015417,1
7042483,1532134,1
7042483,175795,1
7042483,4035754,1
7042483,5290695,1
7042483,528685,1
7042485,6634198,1
7042485,6102439,1
7042485,5333893,1
7042485,5290692,1
7042485,4376140,1
7042485,5290706,1
7042485,4376152,1
7042494,6102461,1
7042494,6065008,1
7042494,5290695,1
7042494,5613456,1
7042494,6102439,1
7042494,4015433,1
7042494,6327258,1
7042494,6634134,1
7042494,6634160,1
7042494,6327255,1
7042494,5613449,1
7042494,6875938,1
7042494,4376140,1
7042494,6634197,1
7042494,6634167,1
7042494,4376154,1
7042494,6634179,1
7042494,5613451,1
7042494,6875992,1
7042489,6400491,1
7042489,5613457,1
7042489,885098,1
7042489,4376168,1
7042489,5290745,1
7042489,5613449,1
7042489,6400553,1
7042489,5613424,1
7042489,5290751,1
7042495,6400557,1
7042495,6064996,1
7042495,6400486,1
7042495,6634160,1
7042495,6634134,1
7042495,6102456,1
7042495,6327271,1
7042495,6634169,1
7042495,1382902,1
7042495,6102448,1
7042495,5652443,1
7042495,1382892,1
7042481,4376166,1
7042481,6634151,1
7042481,5613435,1
7042491,1173157,1
7042491,146402,1
7042491,6634107,1
7042491,1183790,1
7042486,6102458,1
7042486,6634127,1
7042486,6634174,1
7042486,6634137,1
7042486,6102455,1
7042486,6634187,1
7042487,885091,1
7042487,5290698,1
7042487,636718,1
7042487,4389008,1
7042487,559227,1
7042487,6327272,1
7042487,4376152,1
7042487,6400494,1
7042487,6634101,1
7042487,1382905,1
7042487,175815,1
7042487,6634100,1
7042487,4035762,1
7042487,6064996,1
7042490,6634092,1
7042490,1382887,1
7042490,963273,1
7042490,6065008,1
7042490,4658136,1
7042490,1532149,1
7042490,6634107,1
7042490,6327262,1
7042490,4376143,1
7042490,4658146,1
7042490,4376139,1
7042476,4035765,1
7042476,4389003,1
