source,target,weight
5998280,4842675,1
5998280,5498566,1
5998280,5679602,1
5998280,5807784,1
4842675,4222792,1
4842675,4551911,1
4842675,4571819,1
4842675,4604162,1
4842675,4740480,1
5498566,4238278,1
5498566,4666556,1
5498566,4766090,1
5498566,4892614,1
5498566,4960727,1
5498566,4980747,1
5498566,4983226,1
5498566,5011788,1
5679602,4835115,1
5679602,4994407,1
5679602,5106777,1
5679602,5468676,1
5807784,5393693,1
5807784,5445989,1
5807784,5498566,1
4222792,3575740,1
4222792,3832202,1
4222792,3834939,1
4222792,3892608,1
4222792,3966577,1
4222792,3985597,1
4222792,3998673,1
4222792,4004044,1
4222792,4075044,1
4222792,4104086,1
4222792,4139442,1
4551911,4243435,1
4551911,4372030,1
4551911,4445967,1
4571819,4104086,1
4571819,4356211,1
4571819,4396460,1
4571819,4404735,1
4571819,4506434,1
4571819,4519128,1
4604162,4025411,1
4604162,4307180,1
4604162,4333965,1
4604162,4361600,1
4604162,4374011,1
4604162,4377438,1
4604162,4407851,1
4604162,4485551,1
4604162,4502913,1
4604162,4561932,1
4604162,4571819,1
4604162,4580331,1
4740480,4307180,1
4740480,4404735,1
4740480,4419813,1
4740480,4449287,1
4740480,4463493,1
4740480,4506435,1
4740480,4611386,1
4238278,3966577,1
4238278,3969168,1
4238278,4044452,1
4238278,4104086,1
4238278,4104090,1
4238278,4139442,1
4238278,4160991,1
4666556,3966577,1
4666556,4104086,1
4666556,4139442,1
4666556,4222792,1
4666556,4238278,1
4666556,4256514,1
4666556,4356211,1
4666556,4509249,1
4666556,4544576,1
4666556,4571819,1
4666556,4582565,1
4666556,4626317,1
4766090,4318751,1
4766090,4331708,1
4766090,4369565,1
4766090,4477310,1
4766090,4519128,1
4766090,4534824,1
4766090,4633290,1
4892614,4471525,1
4892614,4472240,1
4892614,4571819,1
4892614,4580330,1
4892614,4671851,1
4960727,3859716,1
4960727,3883889,1
4960727,4113515,1
4960727,4131910,1
4960727,4148133,1
4960727,4192059,1
4960727,4438157,1
4960727,4454646,1
4960727,4454647,1
4960727,4471525,1
4960727,4545852,1
4960727,4571819,1
4960727,4580330,1
4960727,4621414,1
4960727,4737831,1
4960727,4791073,1
4980747,3538397,1
4980747,4353086,1
4980747,4400715,1
4980747,4454647,1
4980747,4503451,1
4980747,4528047,1
4980747,4549927,1
4980747,4672410,1
4980747,4689656,1
4980747,4728623,1
4980747,4819052,1
4983226,3500139,1
4983226,4079506,1
4983226,4396460,1
4983226,4528047,1
4983226,4563227,1
4983226,4582565,1
5011788,4233091,1
5011788,4338138,1
5011788,4420874,1
4835115,4372030,1
4835115,4400715,1
4835115,4454647,1
4835115,4528047,1
4835115,4534826,1
4835115,4541167,1
4835115,4549927,1
4835115,4631803,1
4835115,4671851,1
4835115,4689656,1
4835115,4745081,1
4835115,4749661,1
4994407,3751722,1
4994407,4403395,1
4994407,4454647,1
4994407,4462847,1
4994407,4519128,1
4994407,4528047,1
4994407,4534826,1
4994407,4679304,1
4994407,4839115,1
5106777,4400715,1
5106777,4454647,1
5106777,4528047,1
5106777,4534826,1
5106777,4541167,1
5106777,4549927,1
5106777,4631803,1
5106777,4663832,1
5106777,4666556,1
5106777,4671851,1
5106777,4689656,1
5106777,4749661,1
5106777,4835115,1
5106777,4942137,1
5468676,4569701,1
5468676,4656730,1
5468676,4835115,1
5468676,4952524,1
5468676,5100830,1
5468676,5106777,1
5468676,5130268,1
5393693,4234362,1
5393693,4912062,1
5393693,4975126,1
5393693,5298451,1
5445989,5256593,1
3892608,3432792,1
3892608,3738883,1
3892608,3772577,1
3892608,3789023,1
3892608,3806771,1
3892608,3832202,1
3966577,3416224,1
3966577,3421205,1
3966577,3423651,1
3966577,3436327,1
3966577,3531857,1
3966577,3616348,1
3966577,3649503,1
3966577,3676317,1
3966577,3692655,1
3966577,3713922,1
3966577,3738883,1
3985597,3498833,1
3985597,3700497,1
3985597,3791858,1
3985597,3799777,1
3985597,3849136,1
3998673,3296040,1
3998673,3386865,1
3998673,3416224,1
3998673,3432919,1
3998673,3500139,1
3998673,3559283,1
3998673,3579057,1
3998673,3738877,1
3998673,3784847,1
3998673,3818289,1
3998673,3861968,1
3998673,3883948,1
3998673,3886000,1
3998673,3892608,1
4004044,3002848,1
4004044,3113896,1
4004044,3795557,1
4004044,3867216,1
4004044,3873361,1
4075044,3212921,1
4075044,3298879,1
4075044,3303399,1
4075044,3461550,1
4075044,3492174,1
4075044,3584264,1
4075044,3632434,1
4075044,3669693,1
4075044,3769104,1
4075044,3789023,1
4075044,3850686,1
4075044,3928225,1
4075044,3969168,1
4104086,3500139,1
4104086,3508980,1
4104086,3575731,1
4104086,3577044,1
4104086,3901737,1
4104086,3966577,1
4104086,3979237,1
4104086,4007104,1
4139442,3489656,1
4139442,3542551,1
4139442,3575740,1
4139442,3649396,1
4139442,3823015,1
4139442,3966577,1
4139442,3998673,1
4243435,3604986,1
4243435,3837936,1
4243435,3928081,1
4243435,3928082,1
4243435,3945856,1
4243435,4018627,1
4243435,4046606,1
4243435,4106954,1
4243435,4118250,1
4243435,4131497,1
4243435,4135954,1
4372030,3911471,1
4372030,3928091,1
4372030,3961356,1
4372030,3992232,1
4372030,3993513,1
4372030,4140558,1
4372030,4283236,1
4356211,3874920,1
4356211,4104086,1
4356211,4140558,1
4356211,4169000,1
4356211,4238278,1
4356211,4264382,1
4396460,3985597,1
4396460,4007103,1
4396460,4025411,1
4396460,4056413,1
4396460,4123565,1
4396460,4199384,1
4396460,4307179,1
4396460,4307180,1
4396460,4333965,1
4404735,4204894,1
4404735,4233091,1
4404735,4269636,1
4404735,4284659,1
4506434,3421055,1
4506434,3719535,1
4506434,4104086,1
4506434,4192059,1
4506434,4209349,1
4506434,4209350,1
4506434,4252582,1
4506434,4261763,1
4506434,4385433,1
4506434,4391650,1
4519128,3385729,1
4519128,4047195,1
4519128,4048649,1
4519128,4110779,1
4519128,4174252,1
4519128,4242156,1
4519128,4271583,1
4519128,4396460,1
4025411,3506506,1
4025411,3700497,1
4025411,3740280,1
4025411,3791858,1
4025411,3816196,1
4025411,3919066,1
4307180,4025411,1
4307180,4104086,1
4307180,4104090,1
4307180,4222792,1
4333965,4110125,1
4361600,4292156,1
4361600,4333964,1
4361600,4333965,1
4374011,3117260,1
4374011,3391023,1
4374011,3489961,1
4374011,3648125,1
4374011,3940506,1
4374011,3962717,1
4374011,3993513,1
4374011,4104086,1
4374011,4111720,1
4374011,4168999,1
4374011,4307180,1
4377438,3940506,1
4377438,4073054,1
4377438,4222792,1
4407851,4305974,1
4407851,4321284,1
4407851,4328263,1
4407851,4333965,1
4485551,3598664,1
4485551,4005451,1
4485551,4047975,1
4485551,4109272,1
4485551,4178197,1
4485551,4196440,1
4485551,4259680,1
4502913,3419956,1
4502913,3575740,1
4502913,3966577,1
4502913,4104086,1
