source,target,weight
154,725,1
154,631,1
154,638,1
154,6046,1
154,6638,1
154,6095,1
725,724,1
725,2087,1
725,1998,1
725,6556,1
725,6557,1
725,5681,1
725,13551,1
725,10096,1
725,14177,1
725,4243,1
725,7215,1
725,14297,1
725,904,1
725,14301,1
631,630,1
631,2487,1
631,3758,1
631,3815,1
631,2151,1
638,640,1
638,645,1
638,647,1
638,649,1
638,654,1
638,655,1
638,659,1
638,662,1
638,663,1
638,667,1
638,672,1
638,678,1
638,680,1
638,683,1
638,685,1
638,700,1
638,710,1
638,711,1
638,713,1
638,732,1
638,734,1
638,740,1
638,754,1
638,756,1
638,759,1
638,762,1
638,764,1
638,773,1
638,785,1
638,810,1
638,818,1
638,862,1
638,866,1
638,725,1
638,2086,1
638,2091,1
638,2095,1
638,1434,1
638,2104,1
638,829,1
638,2106,1
638,1099,1
638,2084,1
638,2112,1
638,2113,1
638,2114,1
638,1908,1
638,2127,1
638,2131,1
638,2134,1
638,2136,1
638,2137,1
638,2146,1
638,2147,1
638,2148,1
638,1661,1
638,1598,1
638,2157,1
638,2181,1
638,2183,1
638,4227,1
638,3896,1
638,3909,1
638,4229,1
638,1998,1
638,4233,1
638,4234,1
638,4236,1
638,4237,1
638,4247,1
638,1017,1
638,4249,1
638,4254,1
638,4261,1
638,4266,1
638,4267,1
638,4270,1
638,4298,1
638,4299,1
638,1464,1
638,3020,1
638,4314,1
638,4316,1
638,4317,1
638,4318,1
638,4319,1
638,4321,1
638,4322,1
638,1337,1
638,4397,1
638,4398,1
638,1023,1
638,4399,1
638,4400,1
638,4401,1
638,4402,1
638,4403,1
638,4404,1
638,4405,1
638,4406,1
638,4407,1
638,4408,1
638,4409,1
638,4411,1
638,4412,1
638,4413,1
638,4414,1
638,4415,1
638,4416,1
638,4417,1
638,4418,1
638,4419,1
638,4420,1
638,4421,1
638,4422,1
638,4301,1
638,4423,1
638,4424,1
638,4425,1
638,4426,1
638,4428,1
638,4429,1
638,4431,1
638,4432,1
638,4433,1
638,4434,1
638,4435,1
638,4436,1
638,4437,1
638,4438,1
638,4439,1
638,4440,1
638,4441,1
638,4442,1
638,4443,1
638,4444,1
638,4445,1
638,4446,1
638,4447,1
638,4449,1
638,4450,1
638,4451,1
638,4452,1
638,4454,1
638,4455,1
638,4456,1
638,4457,1
638,4458,1
638,4460,1
638,4461,1
638,4462,1
638,4463,1
638,4464,1
638,4465,1
638,4466,1
638,4467,1
638,4468,1
638,4469,1
638,4470,1
638,4471,1
638,4472,1
638,4473,1
638,4474,1
638,4475,1
638,4476,1
638,4477,1
638,4479,1
638,4480,1
638,4481,1
638,4482,1
638,4483,1
638,4484,1
638,817,1
638,4485,1
638,4486,1
638,4487,1
638,4488,1
638,4490,1
638,638,1
638,4491,1
638,4494,1
638,4495,1
638,4497,1
638,4498,1
638,4499,1
638,4500,1
638,4501,1
638,4503,1
638,4505,1
638,1983,1
638,4506,1
638,3090,1
638,4507,1
638,4508,1
638,4509,1
638,4510,1
638,4511,1
638,4512,1
638,4513,1
638,4515,1
638,4516,1
638,4518,1
638,4519,1
638,4520,1
638,4238,1
638,4521,1
638,4522,1
638,4523,1
638,4525,1
638,4527,1
638,4529,1
638,4530,1
638,4531,1
638,4532,1
638,4533,1
638,4534,1
638,4535,1
638,4537,1
638,4540,1
638,4541,1
638,4542,1
638,2212,1
638,4544,1
638,4366,1
638,4545,1
638,4546,1
638,4547,1
638,4548,1
638,4550,1
638,4552,1
638,4554,1
638,4555,1
638,4557,1
638,4559,1
638,4561,1
638,4562,1
638,4563,1
638,4565,1
638,4567,1
638,4568,1
638,4572,1
638,4576,1
638,4577,1
638,4583,1
638,4585,1
638,4587,1
638,4589,1
638,2008,1
638,4592,1
638,4593,1
638,4597,1
638,4601,1
638,4602,1
638,4605,1
638,4610,1
638,2655,1
638,4616,1
638,4617,1
638,4618,1
638,4619,1
638,4339,1
638,4620,1
638,4624,1
638,2898,1
638,4625,1
638,4627,1
638,4628,1
638,4629,1
638,4630,1
638,4631,1
638,4633,1
638,4634,1
638,4635,1
638,4637,1
638,4668,1
638,4669,1
638,4670,1
638,4672,1
638,2353,1
638,2594,1
638,2533,1
638,4673,1
638,4674,1
638,4675,1
638,4681,1
638,4683,1
638,4686,1
638,4687,1
638,1721,1
638,4695,1
638,4699,1
638,4701,1
638,4708,1
638,4711,1
638,4714,1
638,4724,1
638,4730,1
638,4737,1
638,4738,1
638,4740,1
638,3347,1
638,4733,1
638,1986,1
638,4769,1
638,4780,1
638,4793,1
638,1226,1
638,5289,1
638,5290,1
638,5292,1
638,5293,1
638,5294,1
638,5295,1
638,5296,1
638,5297,1
638,5298,1
638,5300,1
638,5301,1
638,2677,1
638,5305,1
638,5306,1
638,5311,1
638,5313,1
638,5316,1
638,5317,1
638,5319,1
638,5322,1
638,5325,1
638,5329,1
638,5330,1
638,5331,1
638,5335,1
638,5341,1
638,5347,1
638,5348,1
638,5349,1
638,5351,1
638,5356,1
638,5358,1
638,5362,1
638,5363,1
638,2387,1
638,5368,1
638,5370,1
638,5372,1
638,5373,1
638,5383,1
638,5388,1
638,5389,1
638,6664,1
638,6656,1
638,6665,1
638,6666,1
638,6668,1
638,6669,1
638,6671,1
638,6672,1
638,6674,1
638,6677,1
638,6682,1
638,6684,1
638,6687,1
638,6688,1
638,6694,1
638,6696,1
638,6698,1
638,3505,1
638,2624,1
638,6708,1
638,6712,1
638,6734,1
638,3407,1
638,6743,1
638,6748,1
638,6749,1
638,6750,1
638,6754,1
638,6756,1
638,6757,1
638,6763,1
638,6769,1
638,6771,1
638,6773,1
638,6775,1
638,872,1
638,6776,1
638,6777,1
638,6611,1
638,6786,1
638,6797,1
638,6801,1
638,6802,1
638,6804,1
638,6817,1
638,6820,1
638,6681,1
638,6863,1
638,6864,1
638,5380,1
638,6871,1
638,6876,1
638,6880,1
638,6889,1
638,6902,1
638,6909,1
638,6912,1
638,1475,1
638,6915,1
638,6926,1
638,6944,1
638,6948,1
638,6950,1
638,7017,1
638,8130,1
638,5704,1
638,8133,1
638,8135,1
638,5123,1
638,7985,1
638,8143,1
638,8149,1
638,4927,1
638,8153,1
638,8162,1
638,5304,1
638,8177,1
638,8187,1
638,8193,1
638,8201,1
638,8229,1
638,8322,1
638,8323,1
638,8327,1
638,8334,1
638,8335,1
638,1571,1
638,8336,1
638,6295,1
638,8339,1
638,8342,1
638,7727,1
638,8354,1
638,1645,1
638,7954,1
638,8355,1
638,8357,1
638,8364,1
638,8099,1
638,5004,1
638,8373,1
638,4070,1
638,8381,1
638,8387,1
638,8401,1
638,8402,1
638,8405,1
638,3691,1
638,8410,1
638,8412,1
638,8417,1
638,8422,1
638,1951,1
638,8428,1
638,2176,1
638,8437,1
638,8449,1
638,8473,1
638,8400,1
638,8504,1
638,5810,1
638,9004,1
638,8839,1
638,9005,1
638,9006,1
638,1499,1
638,9008,1
638,1605,1
638,9009,1
638,9010,1
638,6213,1
638,6572,1
638,9013,1
638,5592,1
638,2230,1
638,1461,1
638,7754,1
638,9014,1
638,9015,1
638,3511,1
638,2997,1
638,9016,1
638,2060,1
638,9020,1
638,9023,1
638,9025,1
638,9027,1
638,5915,1
638,9029,1
638,9030,1
638,3512,1
638,9032,1
638,9033,1
638,9034,1
638,9038,1
638,3964,1
638,902,1
638,11456,1
638,7021,1
638,11459,1
638,6991,1
638,11460,1
638,1422,1
638,1527,1
638,4660,1
638,11466,1
638,1566,1
638,1500,1
638,11468,1
638,6004,1
